period,flags,algorithm,max_eval,run_name,variable,objective,iterations_performed,total_evaluations,final_control_points,total_runtime_seconds,mean,std,median,rms_vs_best_baseline
Early [5-80],t-f-f-f-f,BOBYQA,1000,config_011_t-f-f-f-f_10_1_1000_el_BOBYQA_20260106-192146,f,-0.002238575,1,1000,10,694.76,0.030988845113644158,0.007414722235383111,0.033214102783002894,0.002165062157538933
Full [0-400],t-f-t-f-f,SBPLX,50000,config_011_t-f-t-f-f_25_1_50k_el_20260106-192614,f,-0.002202544,2,47782,25,46379.17,0.02179043109312537,0.02054596597141693,0.0105990258347621,0.0
Full [0-400],t-f-t-f-f,BOBYQA,50000,config_011_t-f-t-f-f_16_1_50k_el_BOBYQA_20260106-192605,f,-0.002202566,2,1315,16,4793.86,0.02557628351338168,0.023022456935934396,0.0123510605227593,0.015433289043232906
Full [0-400],t-f-t-f-f,SBPLX,1000,config_011_t-f-t-f-f_10_1_1000_el_20260106-192126,f,-0.002202577,1,1000,10,2299.95,0.021662148848641465,0.020182028676858376,0.0108963264836055,0.0013773924381138862
Full [0-400],t-f-t-f-f,BOBYQA,1000,config_011_t-f-t-f-f_10_1_1000_el_BOBYQA_20260106-192146,f,-0.002202722,1,1000,10,2620.02,0.02900386452547837,0.029241574845432546,0.0123222475428101,0.026590221259000655
Early [5-80],t-f-t-f-f,SBPLX,50000,config_011_t-f-t-f-f_25_1_50k_el_20260106-192614,f,-0.002202544,2,47782,25,46379.17,0.05955738204108109,0.006939128950399452,0.06379469585794956,0.0
Early [5-80],t-f-t-f-f,BOBYQA,50000,config_011_t-f-t-f-f_16_1_50k_el_BOBYQA_20260106-192605,f,-0.002202566,2,1315,16,4793.86,0.0596983421060372,0.006667872491810915,0.0628029827053128,0.0007795260773873979
Early [5-80],t-f-t-f-f,SBPLX,1000,config_011_t-f-t-f-f_10_1_1000_el_20260106-192126,f,-0.002202577,1,1000,10,2299.95,0.058152791492829724,0.00864238100735382,0.0614239950135618,0.0030211602391735904
Early [5-80],t-f-t-f-f,BOBYQA,1000,config_011_t-f-t-f-f_10_1_1000_el_BOBYQA_20260106-192146,f,-0.002202722,1,1000,10,2620.02,0.05874977360117637,0.007650337602595692,0.0615111967208656,0.0020118130024105994
Full [0-400],f-f-f-f-f,BOBYQA,50000,config_011_f-f-f-f-f_25_1_50k_BOBYQA_20260106-192614,s,-0.002206741,2,6451,25,9577.62,0.2557034619217285,0.04073824643844316,0.262598572533494,0.0
Full [0-400],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_16_1_50k_20260106-192605,s,-0.002206746,2,8321,16,12483.08,0.2557178065708176,0.040799549252425425,0.2626883286398392,0.00044854069229289704
Full [0-400],f-f-f-f-f,SBPLX,1000,config_011_f-f-f-f-f_10_1_1000_el_20260106-192126,s,-0.002223791,1,1000,10,496.07,0.2555123236232411,0.03519913009288426,0.262853000256506,0.012303910569130239
Full [0-400],f-f-f-f-f,BOBYQA,1000,config_011_f-f-f-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002223792,1,1000,10,650.69,0.26215897788394443,0.013396379474564818,0.2612835728506619,0.04000029747908822
Early [5-80],f-f-f-f-f,BOBYQA,50000,config_011_f-f-f-f-f_25_1_50k_BOBYQA_20260106-192614,s,-0.002206741,2,6451,25,9577.62,0.26250677522838545,0.0017267341983490821,0.2627668562963448,0.0
Early [5-80],f-f-f-f-f,SBPLX,50000,config_011_f-f-f-f-f_16_1_50k_20260106-192605,s,-0.002206746,2,8321,16,12483.08,0.2624776416989249,0.0016978620950059856,0.2627707092184195,7.141782295543055e-05
Early [5-80],f-f-f-f-f,SBPLX,1000,config_011_f-f-f-f-f_10_1_1000_el_20260106-192126,s,-0.002223791,1,1000,10,496.07,0.26239624835284164,0.001845230418484618,0.2629771148163606,0.0007440177851825959
Early [5-80],f-f-f-f-f,BOBYQA,1000,config_011_f-f-f-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002223792,1,1000,10,650.69,0.26241018562782853,0.0021753661290771567,0.2634443964695453,0.0007144629349745897
Full [0-400],f-f-t-f-f,BOBYQA,50000,config_011_f-f-t-f-f_16_1_50k_BOBYQA_20260106-192604,s,-0.002176367,2,2645,16,7104.48,0.25575852410772326,0.04179278656380048,0.2625143502145897,0.0
Full [0-400],f-f-t-f-f,SBPLX,50000,config_011_f-f-t-f-f_16_1_50k_el_20260106-192605,s,-0.002194634,2,15769,16,27024.7,0.2557404139771056,0.040928226151908415,0.2625760461061559,0.001260052730737037
Full [0-400],f-f-t-f-f,SBPLX,1000,config_011_f-f-t-f-f_10_1_1000_el_20260106-192126,s,-0.002194659,1,1000,10,1672.17,0.25589447254098735,0.035698500781016475,0.2627359268819925,0.013178157239737998
Full [0-400],f-f-t-f-f,BOBYQA,1000,config_011_f-f-t-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002194733,1,1000,10,1842.58,0.25717704985559053,0.033010182483302716,0.2628028574018631,0.03556897233579099
Early [5-80],f-f-t-f-f,BOBYQA,50000,config_011_f-f-t-f-f_16_1_50k_BOBYQA_20260106-192604,s,-0.002176367,2,2645,16,7104.48,0.2645368096736902,0.0018465974283955822,0.26442314186615,0.0
Early [5-80],f-f-t-f-f,SBPLX,50000,config_011_f-f-t-f-f_16_1_50k_el_20260106-192605,s,-0.002194634,2,15769,16,27024.7,0.2641290762912079,0.0017287324038196628,0.2641920954526691,0.0006493157427653494
Early [5-80],f-f-t-f-f,SBPLX,1000,config_011_f-f-t-f-f_10_1_1000_el_20260106-192126,s,-0.002194659,1,1000,10,1672.17,0.2641758576240392,0.0014695553340637953,0.26422135869423613,0.0007620567820756202
Early [5-80],f-f-t-f-f,BOBYQA,1000,config_011_f-f-t-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002194733,1,1000,10,1842.58,0.26402991813581456,0.0022624910800594284,0.26346868204392104,0.001358275289699028
Full [0-400],t-f-f-f-f,BOBYQA,50000,config_011_t-f-f-f-f_16_1_50k_BOBYQA_20260106-192605,s,-0.002219063,2,10634,16,15159.77,0.25595202308426895,0.039624688528925575,0.2628801444843537,0.0
Full [0-400],t-f-f-f-f,SBPLX,50000,config_011_t-f-f-f-f_16_1_50k_20260106-192605,s,-0.002219063,2,13334,16,18070.41,0.25580153155697105,0.04082745803729435,0.2628438641767166,0.0017628759574130307
Full [0-400],t-f-f-f-f,SBPLX,1000,config_011_t-f-f-f-f_10_1_1000_el_20260106-192126,s,-0.002238503,1,1000,10,551.57,0.2557246696057628,0.03543176521497608,0.262935793220994,0.010459511914614156
Full [0-400],t-f-f-f-f,BOBYQA,1000,config_011_t-f-f-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002238575,1,1000,10,694.76,0.2571037989961737,0.03203826454993726,0.2634261739484371,0.03370556967759572
Early [5-80],t-f-f-f-f,BOBYQA,50000,config_011_t-f-f-f-f_16_1_50k_BOBYQA_20260106-192605,s,-0.002219063,2,10634,16,15159.77,0.2632405338313,0.001990385544566765,0.2640628823017168,0.0
Early [5-80],t-f-f-f-f,SBPLX,50000,config_011_t-f-f-f-f_16_1_50k_20260106-192605,s,-0.002219063,2,13334,16,18070.41,0.2632415552146604,0.0019857435364158114,0.2640625248491061,7.610594715576927e-06
Early [5-80],t-f-f-f-f,SBPLX,1000,config_011_t-f-f-f-f_10_1_1000_el_20260106-192126,s,-0.002238503,1,1000,10,551.57,0.2630686199795421,0.002453331527335645,0.2641792662622158,0.0005434636464051362
Early [5-80],t-f-f-f-f,BOBYQA,1000,config_011_t-f-f-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002238575,1,1000,10,694.76,0.26323559151353015,0.0024972131146704657,0.26435546605979576,0.0006333088627266632
Full [0-400],t-f-t-f-f,SBPLX,50000,config_011_t-f-t-f-f_25_1_50k_el_20260106-192614,s,-0.002202544,2,47782,25,46379.17,0.2557211778935652,0.041026327069413455,0.2623384064966578,0.0
Full [0-400],t-f-t-f-f,BOBYQA,50000,config_011_t-f-t-f-f_16_1_50k_el_BOBYQA_20260106-192605,s,-0.002202566,2,1315,16,4793.86,0.25511755356105015,0.038999432395697635,0.2620619680482667,0.011517485235049965
Full [0-400],t-f-t-f-f,SBPLX,1000,config_011_t-f-t-f-f_10_1_1000_el_20260106-192126,s,-0.002202577,1,1000,10,2299.95,0.2559042107337279,0.035830813910219174,0.2626320060445298,0.012078716599353442
Full [0-400],t-f-t-f-f,BOBYQA,1000,config_011_t-f-t-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002202722,1,1000,10,2620.02,0.258327265411576,0.021275817056349556,0.2617732397498915,0.031147339496916268
Early [5-80],t-f-t-f-f,SBPLX,50000,config_011_t-f-t-f-f_25_1_50k_el_20260106-192614,s,-0.002202544,2,47782,25,46379.17,0.2644149392789276,0.0021006928850069314,0.2644613865925961,0.0
Early [5-80],t-f-t-f-f,BOBYQA,50000,config_011_t-f-t-f-f_16_1_50k_el_BOBYQA_20260106-192605,s,-0.002202566,2,1315,16,4793.86,0.2644266077948236,0.0021801770693168562,0.26467087830204755,0.000199731096123661
Early [5-80],t-f-t-f-f,SBPLX,1000,config_011_t-f-t-f-f_10_1_1000_el_20260106-192126,s,-0.002202577,1,1000,10,2299.95,0.2644210546224469,0.0019514691543741987,0.26450466130479,0.00038327298961252565
Early [5-80],t-f-t-f-f,BOBYQA,1000,config_011_t-f-t-f-f_10_1_1000_el_BOBYQA_20260106-192146,s,-0.002202722,1,1000,10,2620.02,0.2641024780890758,0.002753361593765386,0.2638235733880473,0.0008631183614524593
